"company_name";"Country/Region";"Scope(s) (or Scope 3 category)";"count_TY"
"Brother Industries, Ltd.";"Global";"Other, please specify: Product-related Scope 3 (Category 1, 11, 12)";1
"Brother Industries, Ltd.";"Global";"Scope 1+2 (market-based)";1
"Brown-Forman Corporation";"Global";"Scope 1+2 (market-based) +3 (upstream)";1
"BRQ IT Service";"Global";"Scope 3: Business travel";1
"BT Group";"Global";"Scope 1+2 (market-based)";1
"BT Group";"Global";"Scope 3 (upstream)";2
"Burberry Group";"Global";"Other, please specify: Scope 3, purchased goods and services, business travel and waste";1
"Burberry Group";"Global";"Scope 1+2 (market-based)";1
"Butterball";"Global";"Scope 1";1
"Butterball";"Global";"Scope 2 (location-based)";1
"BWI Group";"Global";"Scope 1";1
"Byelorussian Steel Works";"Global";"Scope 1";1
"C-Pack";"Global";"Scope 3: Waste generated in operations";1
"C&C GROUP PLC";"Global";"Scope 1+2 (market-based)";1
"Cabletech";"Global";"Scope 2 (location-based)";1
"CABOT MICROELECTRONICS CORP";"Global";"Scope 2 (market-based)";1
"Caesars Entertainment";"Global";"Scope 1+2 (market-based)";2
"Caixa Geral de Depósitos";"Global";"Scope 1+2 (market-based)";1
"CaixaBank";"Global";"Scope 1+2 (market-based)";2
"CaixaBank";"Global";"Scope 3: Purchased goods & services";1
"Calbee, Inc.";"Global";"Scope 1+2 (market-based) +3 (upstream & downstream)";1
"California Resources Corp";"Global";"Scope 1+2 (location-based)";1
"Calson Investment Limit";"Global";"Scope 3: Fuel and energy-related activities (not included in Scopes 1 or 2)";1
"Campbell Soup Company";"Global";"Scope 1+2 (location-based)";1
"CANACOL ENERGY LTD.";"Global";"Scope 1+2 (location-based)";1
"CANACOL ENERGY LTD.";"Global";"Scope 2 (location-based)";1
"Canadian Tire Corporation, Limited";"Global";"Scope 1+2 (location-based) +3 (upstream & downstream)";1
"Canadian Tire Corporation, Limited";"Global";"Scope 3: Upstream transportation & distribution";1
"Canon Inc.";"Global";"Other, please specify: Scope 1+2(market-based), Scope3(Purchased goods and services /Upstream transportation and distribution / Use of sold products)";1
"Canon Inc.";"Global";"Scope 1+2 (market-based)";1
"CAOE";"Global";"Scope 2 (market-based)";1
"Capgemini SE";"Global";"Scope 1+2 (location-based)";1
"Capgemini SE";"Global";"Scope 3: Business travel";1
"Capital & Counties Properties";"Global";"Scope 1+2 (location-based)";1
"Capital One Financial";"Global";"Scope 1+2 (market-based)";1
"Capital One Financial";"Global";"Scope 3: Business travel";1
"Capital Power Corporation";"Global";"Scope 1";1
"Career";"Global";"Scope 1";1
"CARENET";"Global";"Scope 2 (location-based)";1
"Cargill";"Global";"Scope 1+2 (market-based)";1
